0,1,2,3,4
CG43319,FBgn0263024,3R,27694318,27694541
CG11570,FBgn0036230,3L,11956708,11957769
CG43322,FBgn0263027,2L,7013396,7014737
polk,FBgn0086302,2L,7013396,7014737
JV166,FBgn0086321,2L,7013396,7014737
GS1027,FBgn0086286,2L,7013396,7014737
GS32,FBgn0086285,2L,7013396,7014737
GS2192,FBgn0086287,2L,7013396,7014737
JR107,FBgn0086320,2L,7013396,7014737
snoRNA:Me28S-G764,FBgn0020518,3L,22869545,22869622
CG40239,FBgn0058239,3L,22869545,22869622
CG41252,FBgn0085578,3L,22869545,22869622
GS8172,FBgn0086284,3L,22869545,22869622
aspn,FBgn0086295,3L,22869545,22869622
GS5071,FBgn0086291,3L,22869545,22869622
snoRNA:Me28S-A1322,FBgn0015543,2R,11893123,11893195
GS2285,FBgn0086288,2R,11893123,11893195
GS3087,FBgn0086289,2R,11893123,11893195
GS5036,FBgn0086290,2R,11893123,11893195
bleb,FBgn0086296,2R,11893123,11893195
GS14505,FBgn0086294,2R,11893123,11893195
CG41553,FBgn0085684,2R,11893123,11893195
mace,FBgn0086301,2R,11893123,11893195
proj,FBgn0086303,2R,11893123,11893195
camo,FBgn0086298,2R,11893123,11893195
lackluster,FBgn0086299,2R,11893123,11893195
lent,FBgn0086300,2R,11893123,11893195
scnt,FBgn0086305,2R,11893123,11893195
JV282,FBgn0086319,2R,11893123,11893195
bxPRE,FBgn0086306,2R,11893123,11893195
CG41277,FBgn0085593,2R,11893123,11893195
CG41325,FBgn0085615,2R,11893123,11893195
JV212,FBgn0086322,2R,11893123,11893195
JV47,FBgn0086323,2R,11893123,11893195
JR8,FBgn0086324,2R,11893123,11893195
CG41276,FBgn0085592,2R,11893123,11893195
CG40211,FBgn0058211,2R,11893123,11893195
CG41266,FBgn0085587,2R,11893123,11893195
CR40613,FBgn0085756,2R,11893123,11893195
CG41326,FBgn0085616,2R,11893123,11893195
snoRNA:Me28S-G3081a,FBgn0063381,2R,17699208,17699276
CG40164,FBgn0058164,2R,17699208,17699276
snoRNA:Me28S-A1666a,FBgn0063377,2R,17699932,17700004
snoRNA:Me28S-A2564,FBgn0065066,3R,29863299,29863344
CG41603,FBgn0085719,3R,29863299,29863344
CG41233,FBgn0085563,3R,29863299,29863344
CG41332,FBgn0085620,3R,29863299,29863344
CG41138,FBgn0069915,3R,29863299,29863344
CR41550,FBgn0085803,3R,29863299,29863344
CG41089,FBgn0069946,3R,29863299,29863344
CG41551,FBgn0085682,3R,29863299,29863344
CG41258,FBgn0085583,3R,29863299,29863344
CG41428,FBgn0085647,3R,29863299,29863344
CG40113,FBgn0058113,3R,29863299,29863344
CG40271,FBgn0058271,3R,29863299,29863344
CR40728,FBgn0085769,3R,29863299,29863344
CG40270,FBgn0058270,3R,29863299,29863344
CG41592,FBgn0085714,3R,29863299,29863344
CG12795,FBgn0031535,2L,3452466,3453755
CG41322,FBgn0085613,2L,3452466,3453755
CG41363,FBgn0085632,2L,3452466,3453755
CG40085,FBgn0058085,2L,3452466,3453755
CG41595,FBgn0085715,2L,3452466,3453755
CG41027,FBgn0085558,2L,3452466,3453755
CG41312,FBgn0085608,2L,3452466,3453755
CG40103,FBgn0058103,2L,3452466,3453755
snoRNA:Me28S-A3407a,FBgn0063385,2R,17699702,17699788
CG40116,FBgn0058116,2R,17699702,17699788
CG41596,FBgn0085716,2R,17699702,17699788
CG12552,FBgn0040004,2R,17699702,17699788
CG40409,FBgn0058409,2R,17699702,17699788
CG12567,FBgn0039958,2L,23161122,23174484
CG40311,FBgn0058311,2L,23161122,23174484
CG41268,FBgn0085589,2L,23161122,23174484
CG41267,FBgn0085588,2L,23161122,23174484
CG41254,FBgn0085580,2L,23161122,23174484
PIP82,FBgn0024943,X,8525387,8529698
CG41066,FBgn0069954,X,8525387,8529698
CG40244,FBgn0058244,X,8525387,8529698
CG41253,FBgn0085579,X,8525387,8529698
CG41425,FBgn0085645,X,8525387,8529698
CG41255,FBgn0085581,X,8525387,8529698
CR41510,FBgn0085793,X,8525387,8529698
CG40040,FBgn0058040,X,8525387,8529698
CG41232,FBgn0085562,X,8525387,8529698
CG41395,FBgn0085641,X,8525387,8529698
CR40508,FBgn0085740,X,8525387,8529698
CG41545,FBgn0085680,X,8525387,8529698
CR40640,FBgn0085759,X,8525387,8529698
CG42200,FBgn0085727,X,8525387,8529698
snoRNA:MeU6-A47,FBgn0025882,X,21386845,21386935
snoRNA:Psi18S-1820,FBgn0026169,2R,24176228,24176367
CG40088,FBgn0058088,2R,24176228,24176367
CG42228,FBgn0085730,2R,24176228,24176367
CR40581,FBgn0085750,2R,24176228,24176367
CG40413,FBgn0058413,2R,24176228,24176367
CR42195,FBgn0085828,2R,24176228,24176367
CG41262,FBgn0085584,2R,24176228,24176367
CG41125,FBgn0069926,2R,24176228,24176367
CG41549,FBgn0085681,2R,24176228,24176367
CG41344,FBgn0085626,2R,24176228,24176367
CG41287,FBgn0085601,2R,24176228,24176367
CG41298,FBgn0085604,2R,24176228,24176367
CG7453,FBgn0030991,X,19180173,19182024
CG40159,FBgn0058159,X,19180173,19182024
CG17429,FBgn0039954,X,19180173,19182024
CR41571,FBgn0085804,3R,722370,722621
CR41617,FBgn0085823,3R,722370,722621
bin3,FBgn0263144,2R,6214568,6240602
CG40181,FBgn0058181,2R,6214568,6240602
CG40122,FBgn0058122,2R,6214568,6240602
CG40124,FBgn0058124,2R,6214568,6240602
CG41124,FBgn0069927,2R,6214568,6240602
CR41540,FBgn0085797,2R,6214568,6240602
CG41286,FBgn0085600,2R,6214568,6240602
CG40195,FBgn0058195,2R,6214568,6240602
CG41498,FBgn0085659,2R,6214568,6240602
CG42570,FBgn0260776,3L,15717819,15720073
CG17169,FBgn0040514,X,23084672,23085536
CG41074,FBgn0069949,X,23084672,23085536
CG41500,FBgn0085660,X,23084672,23085536
Ars-region11,FBgn0000133,X,23084672,23085536
CG41314,FBgn0085609,X,23084672,23085536
CG41579,FBgn0085705,X,23084672,23085536
CG41563,FBgn0085694,X,23084672,23085536
CR40582,FBgn0085751,X,23084672,23085536
CR42196,FBgn0085829,X,23084672,23085536
CG41577,FBgn0085703,X,23084672,23085536
CG41537,FBgn0085676,X,23084672,23085536
CR41590,FBgn0085807,X,23084672,23085536
CR40766,FBgn0085773,X,23084672,23085536
CG41615,FBgn0085722,X,23084672,23085536
CR40639,FBgn0085758,X,23084672,23085536
CR40182,FBgn0058182,3R,2156916,2157206
CG41541,FBgn0085678,3R,2156916,2157206
CG10428,FBgn0032724,2L,18948884,18950973
CR41605,FBgn0085815,2L,18948884,18950973
CG40143,FBgn0058143,2L,18948884,18950973
CG41246,FBgn0085572,2L,18948884,18950973
CG40313,FBgn0058313,2L,18948884,18950973
Cp7Fc,FBgn0014466,X,8477117,8478320
CG17168,FBgn0039943,X,23082738,23084576
CG41293,FBgn0085602,X,23082738,23084576
CG41360,FBgn0085631,X,23082738,23084576
CG41126,FBgn0069925,X,23082738,23084576
Ars-region13,FBgn0004078,X,23082738,23084576
CG41053,FBgn0069960,X,23082738,23084576
CG8745,FBgn0036381,3L,13860027,13866905
Ars-region14,FBgn0004079,3L,13860027,13866905
Ars-region15,FBgn0004080,3L,13860027,13866905
Ars-region21,FBgn0023412,3L,13860027,13866905
Ars-region42,FBgn0023411,3L,13860027,13866905
Ars-region44,FBgn0023410,3L,13860027,13866905
Ars-region12,FBgn0000134,3L,13860027,13866905
Ars-region46,FBgn0023409,3L,13860027,13866905
CG41496,FBgn0085657,3L,13860027,13866905
CG44194,FBgn0265083,3R,12996876,12997726
CG12155,FBgn0029957,X,7728755,7731729
nub,FBgn0085424,2L,12587625,12628135
CG30382,FBgn0050382,2R,7830413,7831771
CG13801,FBgn0035332,3L,2360557,2362686
CG9825,FBgn0034783,2R,22837361,22839291
CG10343,FBgn0032703,2L,18703473,18704454
CG2772,FBgn0031533,2L,3445992,3447589
NELF-B,FBgn0027553,X,7725996,7728361
psh,FBgn0030926,X,18484487,18486921
Snx1,FBgn0031534,2L,3449683,3452106
Grip71,FBgn0032705,2L,18708846,18711297
CG6873,FBgn0030951,X,18739216,18739895
sinu,FBgn0010894,3L,5559470,5561598
frm,FBgn0035612,3L,5538411,5551159
CG1722,FBgn0031168,X,21249976,21251148
pre-rRNA:CR45856,FBgn0267516,X,23278007,23283731
Vps39,FBgn0038593,3R,18271189,18274446
CG31808,FBgn0062978,2L,16704286,16716195
CG46339,FBgn0285963,3R,26915761,26945309
2L1683,FBgn0260594,3R,26915761,26945309
CG30339,FBgn0050339,2R,9601431,9602901
CG34305,FBgn0085334,3R,4242785,4243146
CG11714,FBgn0036170,3L,11518798,11522713
CG42690,FBgn0261580,2R,19944263,19945877
mei-218,FBgn0002709,X,17135985,17142990
CR43697,FBgn0263835,3R,22297548,22298051
Gapdh2,FBgn0001092,X,15868145,15869661
CG7514,FBgn0035567,3L,4687587,4688774
Set1,FBgn0040022,3L,25107594,25115180
CG15553,FBgn0039817,3R,31098868,31101169
SrpRbeta,FBgn0011509,3L,8718949,8720225
Cp18,FBgn0000357,3L,8726791,8727613
Cp19,FBgn0000358,3L,8729865,8730604
Cp16,FBgn0000356,3L,8731944,8732599
CG31087,FBgn0051087,3R,25311027,25313833
msl-2,FBgn0005616,2L,3462218,3466112
CG31104,FBgn0051104,3R,25285473,25286974
CG31288,FBgn0051288,3R,25297960,25299557
CG31370,FBgn0051370,3R,25302464,25303986
CG3649,FBgn0034785,2R,22845977,22847911
CG18130,FBgn0030359,X,11990118,11992768
CG34453,FBgn0085482,3L,232480,233351
LManI,FBgn0032253,2L,10452677,10457241
LManII,FBgn0027611,2L,10457658,10462472
LManIII,FBgn0032066,2L,8765273,8768710
LManIV,FBgn0032067,2L,8769159,8772344
LManV,FBgn0032068,2L,8772946,8776263
LManVI,FBgn0032069,2L,8777661,8781252
Nlg3,FBgn0083963,3R,7570281,7639434
bocks,FBgn0037719,3R,9589468,9591002
CG1545,FBgn0030259,X,11057545,11059619
IscU,FBgn0037637,3R,8822849,8824177
CG15471,FBgn0029726,X,4782201,4782789
CG8303,FBgn0034143,2R,16595028,16604373
TrissinR,FBgn0085410,2L,5824004,5856767
CG11414,FBgn0035024,2R,24561607,24565058
CG3246,FBgn0031538,2L,3460322,3461952
uri,FBgn0035025,2R,24565554,24568082
CG2983,FBgn0031472,2L,2847632,2848997
CG3511,FBgn0035027,2R,24571627,24574503
CG16782,FBgn0029659,X,3459016,3460240
Cog3,FBgn0031536,2L,3453697,3457064
CG9951,FBgn0036671,3L,16863164,16864989
CG15877,FBgn0035337,3L,2376484,2377556
CG16957,FBgn0032519,2L,13395360,13396184
Start1,FBgn0035028,2R,24574559,24577676
Ir52b,FBgn0050469,2R,15501820,15503610
CG1801,FBgn0031171,X,21307586,21317522
mei-S332,FBgn0002715,2R,22122101,22124566
lva,FBgn0029688,X,3955543,3965327
rtv,FBgn0261277,X,11152484,11153990
CG12964,FBgn0034022,2R,15485953,15497231
Gr64b,FBgn0045478,3L,4028605,4032032
CR34320,FBgn0085349,X,1163620,1164105
sand,FBgn0033257,2R,8091696,8096948
ttm3,FBgn0032971,2L,22079632,22080738
zaa77f10,FBgn0250893,2L,22079632,22080738
zaa43d06,FBgn0250897,2L,22079632,22080738
zaa36f12,FBgn0250895,2L,22079632,22080738
zaa90g02,FBgn0250899,2L,22079632,22080738
CR43380,FBgn0263210,X,19934345,19934565
Sec13,FBgn0024509,3R,23356278,23358531
zf30C,FBgn0270924,2L,9758342,9762375
DIP-alpha,FBgn0052791,X,3507245,3571649
DIP-beta,FBgn0259245,X,21422115,21457738
DIP-gamma,FBgn0039617,3R,28925004,28970372
DIP-delta,FBgn0085420,3L,5424109,5442399
DIP-epsilon,FBgn0259714,2L,6377771,6411326
DIP-zeta,FBgn0051708,2L,9051631,9071164
DIP-eta,FBgn0031725,2L,5601723,5617946
DIP-theta,FBgn0051646,2L,5626291,5658560
CG10588,FBgn0037037,3L,20956934,20960660
DIP-iota,FBgn0031837,2L,6617134,6621700
cDIP,FBgn0038865,3R,21159238,21161092
dpr21,FBgn0260995,2R,3066499,3191011
CG16775,FBgn0036767,3L,17885948,17886645
CG42391,FBgn0259737,2R,15202193,15202987
GluRIIA,FBgn0004620,2L,5555072,5558994
CG34056,FBgn0054056,3L,895951,897364
CG12995,FBgn0030826,X,17209368,17209997
CG14096,FBgn0036871,3L,19466567,19467079
CG31805,FBgn0051805,2L,16898175,16900473
Gr64c,FBgn0045477,3L,4028605,4032032
CG4836,FBgn0270925,3R,20013872,20018248
AsnS,FBgn0270926,3L,21173118,21174973
betaGlu,FBgn0270927,3R,31769293,31771848
VAChT,FBgn0270928,3R,18705501,18718916
Su(VGlut)B6,FBgn0262691,3R,18705501,18718916
Su(VGlut)B8,FBgn0262692,3R,18705501,18718916
Su(VGlut)B12,FBgn0262693,3R,18705501,18718916
Su(VGlut)B14,FBgn0262694,3R,18705501,18718916
Su(VGlut)B17,FBgn0262695,3R,18705501,18718916
Su(VGlut)B36,FBgn0262696,3R,18705501,18718916
Su(VGlut)B37,FBgn0262697,3R,18705501,18718916
Su(VGlut)B51,FBgn0262698,3R,18705501,18718916
Cht8,FBgn0034580,2R,21061646,21063212
Cht9,FBgn0034582,2R,21067992,21069286
levy,FBgn0034877,2R,23548239,23548982
CG34434,FBgn0250904,X,5614554,5616370
pio,FBgn0020521,2R,24581245,24597862
CG45490,FBgn0267046,X,19933541,19934294
CG11825,FBgn0033519,2R,10420414,10423650
CG43134,FBgn0262608,X,4247313,4247785
CG43135,FBgn0262609,X,4248377,4248657
Gr64f,FBgn0052255,3L,4035799,4037575
CG4409,FBgn0034128,2R,16443211,16444845
CG3502,FBgn0046253,2R,23343405,23347641
chm,FBgn0028387,2L,7412417,7422736
RpLP0,FBgn0000100,3L,22075867,22077487
Cpr50Cb,FBgn0033869,2R,13794777,13805231
Cpr50Ca,FBgn0033867,2R,13769915,13787802
Ars-region52,FBgn0023408,2R,13769915,13787802
Toll-9,FBgn0036978,3L,20361843,20366724
5.8SrRNA:CR40454,FBgn0250731,X,23280155,23280277
l(3)S006313,FBgn0250733,X,23280155,23280277
l(3)S001813,FBgn0250734,X,23280155,23280277
l(3)S023931,FBgn0250735,X,23280155,23280277
l(3)S002237,FBgn0250736,X,23280155,23280277
l(3)S091911,FBgn0250737,X,23280155,23280277
l(3)S026909,FBgn0250738,X,23280155,23280277
l(3)S026915,FBgn0250739,X,23280155,23280277
l(3)S042302,FBgn0250740,X,23280155,23280277
l(3)S044324,FBgn0250741,X,23280155,23280277
l(3)S051513,FBgn0250742,X,23280155,23280277
l(3)S113302,FBgn0250743,X,23280155,23280277
l(3)S139908,FBgn0250744,X,23280155,23280277
fab1,FBgn0028741,2R,17773964,17781930
Gr93b,FBgn0045470,3R,21842521,21843765
CG34302,FBgn0085331,3R,9822999,9823823
CG42239,FBgn0250868,2R,17572829,17573330
l(2)NC148,FBgn0067371,2R,17572829,17573330
4B7-11,FBgn0069066,2R,17572829,17573330
30-1,FBgn0069067,2R,17572829,17573330
l(2)NC83,FBgn0067360,2R,17572829,17573330
Z600,FBgn0004052,3L,15509061,15509513
l(1)G0325,FBgn0067738,3L,15509061,15509513
fragile-locus-D,FBgn0067772,3L,15509061,15509513
fragile-locus-C,FBgn0067773,3L,15509061,15509513
XG47,FBgn0067039,3L,15509061,15509513
W10,FBgn0067040,3L,15509061,15509513
V8,FBgn0067042,3L,15509061,15509513
U4,FBgn0067043,3L,15509061,15509513
U14,FBgn0067044,3L,15509061,15509513
U12,FBgn0067045,3L,15509061,15509513
Rst(2)DDT-WIS1,FBgn0067050,3L,15509061,15509513
R19,FBgn0067053,3L,15509061,15509513
R13,FBgn0067054,3L,15509061,15509513
Q9,FBgn0067055,3L,15509061,15509513
Q7,FBgn0067056,3L,15509061,15509513
P72,FBgn0067057,3L,15509061,15509513
P61,FBgn0067058,3L,15509061,15509513
P316,FBgn0067059,3L,15509061,15509513
P307,FBgn0067060,3L,15509061,15509513
P270,FBgn0067061,3L,15509061,15509513
O4,FBgn0067062,3L,15509061,15509513
O18,FBgn0067063,3L,15509061,15509513
N9,FBgn0067068,3L,15509061,15509513
N12,FBgn0067069,3L,15509061,15509513
Mpp10,FBgn0067070,3L,15509061,15509513
Mmap370,FBgn0067071,3L,15509061,15509513
Mns,FBgn0067072,3L,15509061,15509513
M8,FBgn0067084,3L,15509061,15509513
K34,FBgn0067085,3L,15509061,15509513
JK1469,FBgn0067086,3L,15509061,15509513
JK1285,FBgn0067087,3L,15509061,15509513
J18,FBgn0067088,3L,15509061,15509513
I16,FBgn0067089,3L,15509061,15509513
I10,FBgn0067090,3L,15509061,15509513
H84,FBgn0067096,3L,15509061,15509513
H71,FBgn0067097,3L,15509061,15509513
H70,FBgn0067098,3L,15509061,15509513
H66,FBgn0067099,3L,15509061,15509513
H47,FBgn0067100,3L,15509061,15509513
G6.A,FBgn0067103,3L,15509061,15509513
G5.A,FBgn0067104,3L,15509061,15509513
DDB2,FBgn0067303,3L,15509061,15509513
D12.A,FBgn0067304,3L,15509061,15509513
D11,FBgn0067305,3L,15509061,15509513
D10,FBgn0067306,3L,15509061,15509513
CG40450,FBgn0067319,3L,15509061,15509513
C75,FBgn0067320,3L,15509061,15509513
C45,FBgn0067321,3L,15509061,15509513
B71,FBgn0067324,3L,15509061,15509513
A43,FBgn0067326,3L,15509061,15509513
A23,FBgn0067327,3L,15509061,15509513
3N5,FBgn0067328,3L,15509061,15509513
3F43,FBgn0067329,3L,15509061,15509513
2F26,FBgn0067330,3L,15509061,15509513
2D5,FBgn0067331,3L,15509061,15509513
su(Hw)BR-y-AS-C,FBgn0067332,3L,15509061,15509513
l(3)L3F,FBgn0067342,3L,15509061,15509513
l(3)L3D,FBgn0067343,3L,15509061,15509513
l(3)L1M,FBgn0067344,3L,15509061,15509513
l(3)B197,FBgn0067345,3L,15509061,15509513
l(3)95Ef,FBgn0067346,3L,15509061,15509513
l(3)95Ee,FBgn0067347,3L,15509061,15509513
l(3)95Ed,FBgn0067348,3L,15509061,15509513
l(3)95Ec,FBgn0067349,3L,15509061,15509513
l(3)95Eb,FBgn0067350,3L,15509061,15509513
l(3)95Ea,FBgn0067351,3L,15509061,15509513
l(3)95EFd,FBgn0067352,3L,15509061,15509513
l(3)95EFc,FBgn0067353,3L,15509061,15509513
l(3)95EFb,FBgn0067354,3L,15509061,15509513
l(3)95EFa,FBgn0067355,3L,15509061,15509513
l(3)9358,FBgn0067356,3L,15509061,15509513
l(3)8E276,FBgn0067357,3L,15509061,15509513
l(3)4106,FBgn0067358,3L,15509061,15509513
l(2)NC85,FBgn0067359,3L,15509061,15509513
l(2)NC47,FBgn0067362,3L,15509061,15509513
l(2)NC45,FBgn0067363,3L,15509061,15509513
l(2)NC204,FBgn0067368,3L,15509061,15509513
l(2)NC30,FBgn0067366,3L,15509061,15509513
l(2)NC192,FBgn0067369,3L,15509061,15509513
l(2)NC14,FBgn0067372,3L,15509061,15509513
l(2)NC139,FBgn0067373,3L,15509061,15509513
l(2)NC133,FBgn0067374,3L,15509061,15509513
l(2)NC114,FBgn0067377,3L,15509061,15509513
l(2)309,FBgn0067379,3L,15509061,15509513
l(2)NC12,FBgn0067376,3L,15509061,15509513
c625,FBgn0067388,3L,15509061,15509513
c601,FBgn0067389,3L,15509061,15509513
Su(2)E,FBgn0067398,3L,15509061,15509513
Rst(2)DDT-WIS1lab,FBgn0067401,3L,15509061,15509513
Rst(2)DDT-EMS2,FBgn0067402,3L,15509061,15509513
Rst(2)DDT-EMS1,FBgn0067403,3L,15509061,15509513
Pcp-1,FBgn0067406,3L,15509061,15509513
E(TS2)2,FBgn0067422,3L,15509061,15509513
70,FBgn0067633,3L,15509061,15509513
233y-a,FBgn0067634,3L,15509061,15509513
188y,FBgn0067635,3L,15509061,15509513
146y,FBgn0067636,3L,15509061,15509513
106y,FBgn0067637,3L,15509061,15509513
wey,FBgn0067638,3L,15509061,15509513
vag,FBgn0067640,3L,15509061,15509513
trou,FBgn0067641,3L,15509061,15509513
tortuous-trachea-1,FBgn0067642,3L,15509061,15509513
sve,FBgn0067643,3L,15509061,15509513
sunny-side-up,FBgn0067644,3L,15509061,15509513
soft-boiled,FBgn0067645,3L,15509061,15509513
sdv,FBgn0067646,3L,15509061,15509513
sd-9,FBgn0067647,3L,15509061,15509513
sd-8,FBgn0067648,3L,15509061,15509513
sd-6,FBgn0067649,3L,15509061,15509513
fragile-locus-B,FBgn0067774,3L,15509061,15509513
sd-4,FBgn0067651,3L,15509061,15509513
sd-3,FBgn0067652,3L,15509061,15509513
sd-2,FBgn0067653,3L,15509061,15509513
sd-14,FBgn0067654,3L,15509061,15509513
sd-13,FBgn0067655,3L,15509061,15509513
sd-11,FBgn0067656,3L,15509061,15509513
sd-10,FBgn0067657,3L,15509061,15509513
sd-1,FBgn0067658,3L,15509061,15509513
sbg,FBgn0067659,3L,15509061,15509513
pup,FBgn0067661,3L,15509061,15509513
poached,FBgn0067663,3L,15509061,15509513
p80,FBgn0067664,3L,15509061,15509513
p70,FBgn0067665,3L,15509061,15509513
p58,FBgn0067666,3L,15509061,15509513
p55M,FBgn0067667,3L,15509061,15509513
p160M,FBgn0067668,3L,15509061,15509513
p105,FBgn0067669,3L,15509061,15509513
over-easy,FBgn0067671,3L,15509061,15509513
omelet,FBgn0067672,3L,15509061,15509513
ninja\pol,FBgn0067673,3L,15509061,15509513
nansen,FBgn0067675,3L,15509061,15509513
nain,FBgn0067676,3L,15509061,15509513
mez,FBgn0067727,3L,15509061,15509513
l(3)J1,FBgn0067729,3L,15509061,15509513
l(3)F6,FBgn0067730,3L,15509061,15509513
l(1)R-8-18,FBgn0067731,3L,15509061,15509513
l(1)G0502,FBgn0067732,3L,15509061,15509513
l(1)G0497,FBgn0067733,3L,15509061,15509513
l(1)G0463,FBgn0067734,3L,15509061,15509513
l(1)G0460,FBgn0067735,3L,15509061,15509513
l(1)G0206,FBgn0067749,3L,15509061,15509513
l(1)G0195,FBgn0067750,3L,15509061,15509513
l(1)G0357,FBgn0067736,3L,15509061,15509513
l(1)G0352,FBgn0067737,3L,15509061,15509513
l(1)G0314,FBgn0067739,3L,15509061,15509513
l(1)G0313,FBgn0067740,3L,15509061,15509513
l(1)G0304,FBgn0067741,3L,15509061,15509513
l(1)G0288,FBgn0067742,3L,15509061,15509513
l(1)G0284,FBgn0067743,3L,15509061,15509513
l(1)G0275,FBgn0067744,3L,15509061,15509513
l(1)G0265,FBgn0067745,3L,15509061,15509513
l(1)G0256,FBgn0067746,3L,15509061,15509513
l(1)G0243,FBgn0067747,3L,15509061,15509513
l(1)G0210,FBgn0067748,3L,15509061,15509513
l(1)G0073,FBgn0067756,3L,15509061,15509513
l(1)G0068,FBgn0067757,3L,15509061,15509513
l(1)G0189,FBgn0067751,3L,15509061,15509513
l(1)G0187,FBgn0067752,3L,15509061,15509513
l(1)G0135,FBgn0067753,3L,15509061,15509513
l(1)G0096,FBgn0067754,3L,15509061,15509513
l(1)G0082,FBgn0067755,3L,15509061,15509513
l(1)G0029,FBgn0067758,3L,15509061,15509513
l(1)G0001,FBgn0067761,3L,15509061,15509513
l(1)E-81,FBgn0067762,3L,15509061,15509513
l(1)B-56,FBgn0067763,3L,15509061,15509513
l(1)16-3-98,FBgn0067764,3L,15509061,15509513
l(1)16-1-27,FBgn0067765,3L,15509061,15509513
kol,FBgn0067766,3L,15509061,15509513
hard-boiled,FBgn0067767,3L,15509061,15509513
grl,FBgn0067768,3L,15509061,15509513
frk,FBgn0067770,3L,15509061,15509513
fried,FBgn0067771,3L,15509061,15509513
fragile-locus-A,FBgn0067775,3L,15509061,15509513
fkl,FBgn0067776,3L,15509061,15509513
era,FBgn0067777,3L,15509061,15509513
els,FBgn0067778,3L,15509061,15509513
bsl,FBgn0067780,3L,15509061,15509513
anon-i232,FBgn0067785,3L,15509061,15509513
anon-i176,FBgn0067786,3L,15509061,15509513
anon-i118,FBgn0067787,3L,15509061,15509513
anon-N4,FBgn0067809,3L,15509061,15509513
anon-N1,FBgn0067810,3L,15509061,15509513
abz,FBgn0067854,3L,15509061,15509513
Theseus,FBgn0067856,3L,15509061,15509513
Mod(Prat:bw)Y-1,FBgn0067865,3L,15509061,15509513
Mod(Prat:bw)3-9,FBgn0067866,3L,15509061,15509513
Mod(Prat:bw)3-8,FBgn0067867,3L,15509061,15509513
Mod(Prat:bw)3-7,FBgn0067868,3L,15509061,15509513
Mod(Prat:bw)3-6,FBgn0067869,3L,15509061,15509513
Mod(Prat:bw)3-5,FBgn0067870,3L,15509061,15509513
Mod(Prat:bw)3-4,FBgn0067871,3L,15509061,15509513
Mod(Prat:bw)3-3,FBgn0067872,3L,15509061,15509513
Mod(Prat:bw)3-2,FBgn0067873,3L,15509061,15509513
Mod(Prat:bw)3-12,FBgn0067874,3L,15509061,15509513
Mod(Prat:bw)3-11,FBgn0067875,3L,15509061,15509513
Mod(Prat:bw)3-10,FBgn0067876,3L,15509061,15509513
Mod(Prat:bw)3-1,FBgn0067877,3L,15509061,15509513
Mod(Prat:bw)2-5,FBgn0067878,3L,15509061,15509513
Mod(Prat:bw)2-4,FBgn0067879,3L,15509061,15509513
Mod(Prat:bw)2-3,FBgn0067880,3L,15509061,15509513
Mod(Prat:bw)2-1,FBgn0067881,3L,15509061,15509513
Mod(Prat:bw)1-5,FBgn0067882,3L,15509061,15509513
Mod(Prat:bw)1-4,FBgn0067883,3L,15509061,15509513
Mod(Prat:bw)1-3,FBgn0067884,3L,15509061,15509513
Mod(Prat:bw)1-2,FBgn0067885,3L,15509061,15509513
Mod(Prat:bw)1-1,FBgn0067886,3L,15509061,15509513
IM22,FBgn0067900,3L,15509061,15509513
GS(2)A096,FBgn0067911,3L,15509061,15509513
EP303,FBgn0067914,3L,15509061,15509513
COM,FBgn0069052,3L,15509061,15509513
stoc,FBgn0069079,3L,15509061,15509513
194-26,FBgn0069070,3L,15509061,15509513
27-25,FBgn0069068,3L,15509061,15509513
20-51,FBgn0069069,3L,15509061,15509513
zih,FBgn0069071,3L,15509061,15509513
mus318,FBgn0069106,3L,15509061,15509513
mus317,FBgn0069107,3L,15509061,15509513
ttf,FBgn0069075,3L,15509061,15509513
mus219,FBgn0069111,3L,15509061,15509513
sirio,FBgn0069082,3L,15509061,15509513
sbe,FBgn0069084,3L,15509061,15509513
sah,FBgn0069086,3L,15509061,15509513
rng,FBgn0069089,3L,15509061,15509513
p170,FBgn0069093,3L,15509061,15509513
nap,FBgn0069096,3L,15509061,15509513
mus327,FBgn0069098,3L,15509061,15509513
mus326,FBgn0069099,3L,15509061,15509513
mus325,FBgn0069100,3L,15509061,15509513
mus323,FBgn0069102,3L,15509061,15509513
mus321,FBgn0069103,3L,15509061,15509513
mus320,FBgn0069104,3L,15509061,15509513
mus319,FBgn0069105,3L,15509061,15509513
mus316,FBgn0069108,3L,15509061,15509513
mus315,FBgn0069109,3L,15509061,15509513
mus314,FBgn0069110,3L,15509061,15509513
mus218,FBgn0069112,3L,15509061,15509513
mus217,FBgn0069113,3L,15509061,15509513
mus216,FBgn0069114,3L,15509061,15509513
mus215,FBgn0069115,3L,15509061,15509513
mus214,FBgn0069116,3L,15509061,15509513
mus213,FBgn0069117,3L,15509061,15509513
mus212,FBgn0069118,3L,15509061,15509513
ms(3)Z4934,FBgn0069119,3L,15509061,15509513
ms(3)Z2995,FBgn0069120,3L,15509061,15509513
ms(3)Z2420,FBgn0069121,3L,15509061,15509513
ms(2)Z2181,FBgn0069122,3L,15509061,15509513
ms(2)Z0738,FBgn0069123,3L,15509061,15509513
mei(3)M20,FBgn0069127,3L,15509061,15509513
mei(3)M19,FBgn0069128,3L,15509061,15509513
mei(2)yoh7134,FBgn0069129,3L,15509061,15509513
